Rk,School,City, State,From,To,Yrs,G,W,L,WL,SRS,SOS,AP,CREG,CTRN,NCAA,FF,NC
1,Abilene Christian Wildcats,Abilene, Texas,1971,2019,9,263,128,135,0.487,-11.9,-6.93,0,0,1,1,0,0
2,Air Force Falcons,USAF Academy, Colorado,1958,2019,61,1671,729,942,0.436,-2.67,1.31,0,1,0,4,0,0
3,Akron Zips,Akron, Ohio,1902,2019,68,1562,918,644,0.588,-0.43,-1.49,0,8,4,4,0,0
4,Alabama A&M Bulldogs,Normal, Alabama,2000,2019,20,580,224,356,0.386,-16.9,-11.43,0,1,1,1,0,0
5,Alabama Crimson Tide,Tuscaloosa, Alabama,1913,2019,106,2725,1677,1047,0.616,7.21,4.53,15,10,7,21,0,0
6,Alabama State Hornets,Montgomery, Alabama,1983,2019,37,1096,532,564,0.485,-12.87,-10.11,0,4,4,4,0,0
7,Alabama-Birmingham Blazers,Birmingham, Alabama,1980,2019,40,1288,801,487,0.622,6.55,2.73,2,7,5,15,0,0
8,Albany (NY) Great Danes,Albany, New York,2000,2019,20,626,312,314,0.498,-6.65,-6.09,0,2,5,5,0,0
9,Alcorn State Braves,Alcorn State, Mississippi,1978,2019,42,1245,537,708,0.431,-13.54,-8.85,0,10,6,6,0,0
10,Allegheny Gators,Meadville, Pennsylvania,1896,1916,21,234,191,41,0.823,,,0,0,0,,,
11,American Eagles,Washington D.C., Washington D.C.,1967,2019,53,1503,739,764,0.492,-5.57,-3.74,0,7,3,3,0,0
12,Amherst Lord Jeffs,Amherst, Massachusetts,1901,1902,2,12,12,0,1,,,0,0,0,,,
13,Appalachian State Mountaineers,Boone North, Carolina,1974,2019,46,1352,657,695,0.486,-6.01,-3.37,0,10,2,2,0,0
14,Arizona State Sun Devils,Tempe, Arizona,1912,2019,104,2539,1348,1191,0.531,4.85,3.85,7,8,0,16,0,0
15,Arizona Wildcats,Tucson, Arizona,1905,2019,112,2722,1787,934,0.657,8.76,4.98,27,24,7,35,4,1
16,Arkansas Razorbacks,Fayetteville, Arkansas,1924,2019,96,2643,1688,955,0.639,7.44,3.03,16,26,7,32,6,1
17,Arkansas State Red Wolves,State University, Arkansas,1971,2019,49,1420,727,693,0.512,-3.59,-2.98,0,7,1,1,0,0
18,Arkansas-Pine Bluff Golden Lions,Pine Bluff, Arkansas,1999,2019,21,637,195,442,0.306,-19.45,-8.63,0,0,1,1,0,0
19,Armstrong Pirates,Savannah, Georgia,1987,1987,1,28,6,22,0.214,-21.6,-4.78,0,0,0,0,0,0
20,Army Black Knights,West Point, New York,1903,2019,117,2486,1235,1251,0.497,-9.24,-4.66,0,0,0,0,0,0
21,Auburn Tigers,Auburn, Alabama,1906,2019,113,2568,1364,1203,0.531,5.41,4.12,7,4,2,10,1,0
22,Augusta State Jaguars,Augusta, Georgia,1985,1991,7,197,64,133,0.325,-17.3,-8,0,0,0,0,0,0
23,Augustana (IL) Vikings,Rock Island, Illinois,1902,1917,12,116,81,35,0.698,,,0,0,0,,,
24,Austin Peay Governors,Clarksville, Tennessee,1964,2019,56,1607,803,804,0.5,-5.54,-3.37,1,8,5,7,0,0
25,Baker University Wildcats,Baldwin City, Kansas,1903,1908,6,90,62,28,0.689,,,0,0,0,,,
26,Baldwin-Wallace Yellow Jackets,Berea, Ohio,1948,1953,6,139,82,57,0.59,-4.45,1.84,0,0,0,0,0,0
27,Ball State Cardinals,Muncie, Indiana,1972,2019,48,1412,750,662,0.531,-0.93,-0.68,1,10,7,7,0,0
28,Baltimore Super Bees,Baltimore, Maryland,1979,1983,5,133,46,87,0.346,-13.76,-6.45,0,0,0,0,0,0
29,Baylor Bears,Waco, Texas,1907,2019,113,2724,1351,1373,0.496,1.36,2.48,6,5,0,12,2,0
30,Belmont Bruins,Nashville, Tennessee,2000,2019,20,635,415,220,0.654,1.06,-3.32,0,11,7,8,0,0
31,Beloit Buccaneers,Beloit, Wisconsin,1911,1924,8,95,66,28,0.702,,,0,0,0,,,
32,Bethune-Cookman Wildcats,Daytona Beach, Florida,1981,2019,39,1155,417,738,0.361,-16.81,-10,0,2,0,0,0,0
33,Binghamton Bearcats,Binghamton, New York,2002,2019,18,545,195,350,0.358,-11,-5.55,0,1,1,1,0,0
34,Birmingham-Southern Panthers,Birmingham, Alabama,1920,2006,5,105,65,40,0.619,-5.44,-8.71,0,1,0,0,0,0
35,Bloomsburg Huskies,Bloomsburg, Pennsylvania,1896,1911,15,143,88,55,0.615,,,0,0,0,,,
36,Boise State Broncos,Boise, Idaho,1972,2019,48,1413,783,630,0.554,0.08,-0.69,0,6,5,7,0,0
37,Boston College Eagles,Chestnut Hill, Massachusetts,1946,2019,74,2082,1143,939,0.549,3.15,3.09,8,6,2,18,0,0
38,Boston University Terriers,Boston, Massachusetts,1916,2019,93,2131,1092,1039,0.512,-6.84,-5.48,0,8,6,7,0,0
39,Bowling Green State Falcons,Bowling Green, Ohio,1916,2019,104,2572,1387,1185,0.539,-0.46,0.08,2,9,0,4,0,0
40,Bradley Braves,Peoria, Illinois,1903,2019,115,2871,1669,1202,0.581,4.68,3,12,7,3,9,2,0
41,Brigham Young College,Logan, Utah,1908,1908,1,11,10,1,0.909,,,0,0,0,,,
42,Brigham Young Cougars,Provo, Utah,1903,2019,117,2924,1829,1095,0.626,7.56,3.54,10,25,3,29,0,0
43,Brooklyn Bulldogs,Brooklyn, New York,1934,1992,25,567,233,334,0.411,-19.21,-9.62,0,0,0,0,0,0
44,Brown Bears,Providence, Rhode Island,1901,2019,113,2574,1045,1529,0.406,-10.95,-4.61,0,1,0,2,0,0
45,Bryant Bulldogs,Smithfield, Rhode Island,2011,2019,9,278,97,181,0.349,-11.74,-5.24,0,0,0,0,0,0
46,Bucknell Bison,Lewisburg, Pennsylvania,1896,2019,124,2678,1449,1229,0.541,-8.25,-6.88,0,18,8,8,0,0
47,Buffalo Bulls,Buffalo, New York,1907,2019,50,1205,613,592,0.509,-5.14,-2.41,1,5,4,4,0,0
48,Butler Bulldogs,Indianapolis, Indiana,1897,2019,121,2742,1597,1145,0.582,1.67,3.05,7,13,7,16,2,0
49,Cal Poly Mustangs,San Luis Obispo, California,1995,2019,25,735,296,439,0.403,-6.63,-1.81,0,1,1,1,0,0
50,Cal State Bakersfield Roadrunners,Bakersfield, California,2011,2019,9,286,145,141,0.507,-4.69,-3.17,0,1,1,1,0,0
51,Cal State Fullerton Titans,Fullerton, California,1975,2019,45,1313,624,689,0.475,-1.83,-0.27,0,2,3,3,0,0
52,Cal State Los Angeles Golden Eagles,Los Angeles, California,1971,1975,5,130,70,60,0.538,-1.89,1.34,0,0,0,1,0,0
53,Cal State Northridge Matadors,Northridge, California,1991,2019,29,865,369,496,0.427,-5.29,-1.89,0,3,2,2,0,0
54,California Baptist,Riverside, California,2019,2019,1,31,16,15,0.516,-3.89,-4.12,0,0,0,0,0,0
55,Campbell Fighting Camels,Buies Creek, North Carolina,1978,2019,42,1213,503,710,0.415,-12.68,-7.1,0,2,1,1,0,0
56,Canisius Golden Griffins,Buffalo, New York,1904,2019,115,2574,1307,1267,0.508,-3.65,-1.65,1,8,1,4,0,0
57,Carleton College Knights,Northfield, Minnesota,1910,1934,25,360,280,80,0.778,,,0,0,0,,,
58,Carnegie Mellon Tartans,Pittsburgh, Pennsylvania,1933,1939,7,87,40,47,0.46,,,0,2,0,0,0,0
59,Case Western Reserve Spartans,Cleveland, Ohio,1898,1955,13,245,95,150,0.388,-18.31,-2.68,0,0,0,0,0,0
60,Catholic Cardinals,Washington D.C., Washington D.C.,1913,1981,13,248,122,126,0.492,-15.98,-6.69,0,0,0,1,0,0
61,Centenary (LA) Gents,Shreveport, Louisiana,1960,2011,52,1435,637,798,0.444,-8.73,-3.96,1,1,1,0,0,0
62,Central Arkansas Bears,Conway, Arkansas,2011,2019,9,274,83,191,0.303,-14.64,-5.46,0,0,0,0,0,0
63,Central Connecticut State Blue Devils,New Britain, Connecticut,1987,2019,33,961,391,570,0.407,-12.49,-7.74,0,3,3,3,0,0
64,Central Florida Knights,Orlando, Florida,1985,2019,35,1049,527,522,0.502,-4.28,-2.8,0,1,4,5,0,0
65,Central Michigan Chippewas,Mount Pleasant, Michigan,1974,2019,46,1325,588,737,0.444,-3.86,-0.38,0,8,2,4,0,0
66,Central Missouri Mules,Warrensburg, Missouri,1913,1937,10,178,140,38,0.787,,,0,0,0,,,
67,Central Normal College,Danville, Indiana,1931,1931,1,19,19,0,1,,,0,0,0,,,
68,Central Pennsylvania College Knights,Summerdale, Pennsylvania,1896,1900,4,6,2,4,0.333,,,0,0,0,,,
69,Centre (KY) Colonels,Danville, Kentucky,1910,1919,3,45,41,4,0.911,,,0,0,0,,,
70,Charleston Southern Buccaneers,Charleston, South Carolina,1975,2019,45,1291,536,755,0.415,-13.21,-7.21,0,4,4,1,0,0
71,Charlotte 49ers,Charlotte, North Carolina,1973,2019,47,1399,767,632,0.548,3.47,2.11,2,6,5,11,1,0
72,Chattanooga Mocs,Chattanooga, Tennessee,1978,2019,42,1292,775,517,0.6,-2.56,-3.66,1,19,11,11,0,0
73,Cheyenne Business College,Cheyenne, Wyoming,1903,1903,1,1,1,0,1,,,0,0,0,,,
74,Chicago Maroons,Chicago, Illinois,1896,1946,46,862,419,443,0.486,,,0,6,0,0,0,0
75,Chicago State Cougars,Chicago, Illinois,1985,2019,35,1023,269,754,0.263,-15.06,-2.23,0,0,1,0,0,0
76,Cincinnati Bearcats,Cincinnati, Ohio,1902,2019,118,2831,1815,1016,0.641,11.67,5,25,24,12,33,6,2
77,Citadel Bulldogs,Charleston, South Carolina,1913,2019,107,2362,997,1365,0.422,-13.06,-5.55,0,0,0,0,0,0
78,City College of New York Beavers,New York, New York,1906,1953,48,725,517,208,0.713,-0.07,2.71,0,1,0,2,2,1
79,Clemson Tigers,Clemson, South Carolina,1912,2019,108,2636,1331,1303,0.505,5.33,4.16,6,1,1,12,0,0
80,Cleveland State Vikings,Cleveland, Ohio,1973,2019,47,1379,682,697,0.495,-3.31,-1.57,0,4,2,2,0,0
81,Coastal Carolina Chanticleers,Conway, South Carolina,1987,2019,33,991,504,487,0.509,-8.35,-6.42,0,7,5,4,0,0
82,Colgate Raiders,Hamilton, New York,1901,2019,119,2683,1281,1402,0.477,-11.14,-5.71,0,4,3,3,0,0
83,College of Charleston Cougars,Charleston, South Carolina,1992,2019,28,877,609,268,0.694,1.13,-4.27,2,13,4,5,0,0
84,College of New Jersey Lions,Ewing, New Jersey,1900,1900,1,5,3,2,0.6,,,0,0,0,,,
85,Colorado Buffaloes,Boulder, Colorado,1902,2019,116,2529,1317,1212,0.521,4.95,5.9,5,19,1,14,2,0
86,Colorado College Tigers,Colorado Springs, Colorado,1915,1937,23,376,233,143,0.62,,,0,7,0,,,
87,Colorado School of Mines Orediggers,Golden, Colorado,1908,1937,28,282,80,202,0.284,,,0,2,0,,,
88,Colorado State Rams,Fort Collins, Colorado,1902,2019,115,2538,1266,1272,0.499,2.64,2.34,0,6,1,10,0,0
89,Columbia Lions,New York, New York,1901,2019,119,2618,1302,1316,0.497,-7.65,-5.2,2,13,0,3,0,0
90,Concordia Seminary Preachers,St. Louis, Missouri,1907,1923,2,16,14,2,0.875,,,0,0,0,,,
91,Connecticut Huskies,Storrs, Connecticut,1901,2019,113,2613,1656,957,0.634,6.32,0.9,16,27,8,32,5,4
92,Coppin State Eagles,Baltimore, Maryland,1986,2019,34,1032,477,555,0.462,-10.73,-8.22,0,10,4,4,0,0
93,Cornell Big Red,Ithaca, New York,1899,2019,121,2703,1262,1441,0.467,-7.79,-4.54,0,8,0,5,0,0
94,Cotner University,Lincoln, Nebraska,1910,1911,2,27,24,3,0.889,,,0,0,0,,,
95,Creighton Bluejays,Omaha, Nebraska,1912,2019,99,2582,1562,1020,0.605,3.55,3.28,4,15,12,21,0,0
96,Cumberland University Bulldogs,Lebanon, Tennessee,1904,1904,1,4,4,0,1,,,0,0,0,,,
97,Dakota Wesleyan Tigers,Mitchell, South Dakota,1932,1932,1,20,19,1,0.95,,,0,0,0,,,
98,Dartmouth Big Green,Hanover, New Hampshire,1900,2019,119,2832,1307,1523,0.462,-10.93,-5.16,0,12,0,7,2,0
99,Davidson Wildcats,Davidson, North Carolina,1909,2019,110,2679,1461,1218,0.545,-3.14,-3.06,6,24,13,14,0,0
100,Dayton Flyers,Dayton, Ohio,1904,2019,114,2763,1645,1118,0.595,6.8,3.18,7,5,2,18,1,0
101,Delaware Fightin' Blue Hens,Newark, Delaware,1906,2019,78,1889,931,957,0.493,-8.65,-6.02,0,4,5,5,0,0
102,Delaware State Hornets,Dover, Delaware,1974,2019,46,1328,530,798,0.399,-16.54,-10.27,0,3,1,1,0,0
103,Denison Big Red,Granville, Ohio,1905,1944,24,362,269,93,0.743,,,0,0,0,0,0,0
104,Denver Pioneers,Denver, Colorado,1904,2019,96,2074,941,1133,0.454,-3.7,-0.6,0,4,0,0,0,0
105,DePaul Blue Demons,Chicago, Illinois,1924,2019,96,2491,1467,1024,0.589,6.14,5.84,12,2,0,22,2,0
106,DePauw Tigers,Greencastle, Indiana,1916,1932,17,276,182,94,0.659,,,0,0,0,,,
107,Detroit Mercy Titans,Detroit, Michigan,1910,2019,110,2649,1416,1233,0.535,0.23,1.13,2,2,3,6,0,0
108,Dickinson College Red Devils,Carlisle, Pennsylvania,1926,1947,2,34,30,4,0.882,,,0,0,0,0,0,0
109,Drake Bulldogs,Des Moines, Iowa,1907,2019,113,2723,1243,1480,0.456,0.96,3,5,9,1,4,1,0
110,Drexel Dragons,Philadelphia, Pennsylvania,1895,2019,49,1354,744,610,0.549,-3.5,-4.53,0,7,4,4,0,0
111,Duke Blue Devils,Durham, North Carolina,1906,2019,114,3063,2176,887,0.71,16.15,6.65,48,22,26,43,16,5
112,Duquesne Dukes,Pittsburgh, Pennsylvania,1914,2019,103,2526,1402,1124,0.555,2,1.99,7,2,1,5,1,0
113,East Carolina Pirates,Greenville, North Carolina,1967,2019,53,1513,664,849,0.439,-4.83,-1.23,0,0,2,2,0,0
114,East Central Tigers,Ada, Oklahoma,1929,1931,3,74,66,8,0.892,,,0,0,0,,,
115,East Tennessee State Buccaneers,Johnson City, Tennessee,1959,2019,61,1742,947,795,0.544,-4.3,-3.52,1,10,9,10,0,0
116,Eastern Illinois Panthers,Charleston, Illinois,1982,2019,38,1115,512,603,0.459,-7.4,-4.25,0,0,3,2,0,0
117,Eastern Kentucky Colonels,Richmond, Kentucky,1948,2019,69,1853,906,947,0.489,-4.67,-2.63,0,7,5,8,0,0
118,Eastern Michigan Eagles,Ypsilanti, Michigan,1933,2019,47,1388,659,729,0.475,-2.99,-0.27,0,5,4,4,0,0
119,Eastern Washington Eagles,Cheney, Washington,1984,2019,36,1052,449,603,0.427,-6.4,-2.23,0,3,2,2,0,0
120,Elon Phoenix,Elon, North Carolina,2000,2019,20,617,265,352,0.429,-8.47,-3.78,0,2,0,0,0,0
121,Emporia State Hornets,Emporia, Kansas,1934,1934,1,18,17,1,0.944,,,0,0,0,,,
122,Evansville Purple Aces,Evansville, Indiana,1925,2019,46,1305,707,598,0.542,1.47,1.03,0,6,4,5,0,0
123,Fairfield Stags,Fairfield, Connecticut,1965,2019,55,1573,767,806,0.488,-4.28,-2.92,0,3,3,3,0,0
124,Fairleigh Dickinson Knights,Teaneck, New Jersey,1968,2019,52,1464,706,758,0.482,-9.98,-6.97,0,6,6,6,0,0
125,Florida A&M Rattlers,Tallahassee, Florida,1980,2019,40,1185,454,731,0.383,-15.9,-9.1,0,0,4,3,0,0
126,Florida Atlantic Owls,Boca Raton, Florida,1994,2019,26,772,280,492,0.363,-9.4,-3.42,0,1,1,1,0,0
127,Florida Gators,Gainesville, Florida,1921,2019,98,2548,1432,1115,0.562,7.8,4.88,15,9,4,22,5,2
128,Florida Gulf Coast Eagles,Fort Myers, Florida,2011,2019,9,303,179,124,0.591,-1.71,-3.56,0,3,3,3,0,0
129,Florida International Panthers,Miami, Florida,1988,2019,32,952,379,573,0.398,-8.32,-3.35,0,1,1,1,0,0
130,Florida State Seminoles,Tallahassee, Florida,1957,2019,63,1861,1102,759,0.592,7.39,4.88,10,2,2,17,1,0
131,Fordham Rams,Bronx, New York,1903,2019,115,2904,1518,1386,0.523,-2.73,-0.26,1,4,4,4,0,0
132,Franklin Grizzlies,Franklin, Indiana,1907,1925,18,221,144,77,0.652,,,0,0,0,,,
133,Fresno State Bulldogs,Fresno, California,1956,2019,52,1569,886,683,0.565,2.54,1.71,1,6,5,6,0,0
134,Furman Paladins,Greenville, South Carolina,1920,2019,98,2490,1242,1248,0.499,-6.35,-4.2,0,6,6,6,0,0
135,Gardner-Webb Runnin' Bulldogs,Boiling Springs, North Carolina,2003,2019,17,537,250,287,0.466,-8.23,-4.64,0,1,1,1,0,0
136,Geneva Golden Tornadoes,Beaver Falls, Pennsylvania,1893,1943,10,125,80,45,0.64,,,0,0,0,0,0,0
137,George Mason Patriots,Fairfax, Virginia,1979,2019,41,1237,664,573,0.537,-1.37,-1.63,0,4,4,6,1,0
138,George Washington Colonials,Washington D.C., Washington D.C.,1913,2019,102,2500,1349,1151,0.54,0.31,-0.11,3,7,5,11,0,0
139,Georgetown Hoyas,Washington D.C., Washington D.C.,1907,2019,111,2725,1672,1053,0.614,6.7,3.79,20,11,7,30,5,1
140,Georgia Bulldogs,Athens, Georgia,1906,2019,114,2736,1423,1313,0.52,3.84,4.83,5,3,3,12,1,0
141,Georgia Southern Eagles,Statesboro, Georgia,1972,2019,48,1399,714,685,0.51,-6.78,-5.06,0,7,3,3,0,0
142,Georgia State Panthers,Atlanta, Georgia,1974,2019,46,1347,593,754,0.44,-7.4,-3.9,0,7,5,5,0,0
143,Georgia Tech Yellow Jackets,Atlanta, Georgia,1920,2019,100,2595,1366,1229,0.526,5.5,5.09,8,3,4,16,2,0
144,Gettysburg Bullets,Gettysburg, Pennsylvania,1901,1973,41,724,385,339,0.532,-15.98,-9.8,0,0,0,0,0,0
145,Gonzaga Bulldogs,Spokane, Washington,1944,2019,68,2005,1305,700,0.651,2.98,-0.33,12,24,17,22,1,0
146,Grambling Tigers,Grambling, Louisiana,1978,2019,42,1196,444,752,0.371,-17.51,-9.37,0,3,0,0,0,0
147,Grand Canyon Antelopes,Phoenix, Arizona,2014,2019,6,195,123,72,0.631,-0.69,-4.18,0,0,0,0,0,0
148,Green Bay Phoenix,Green Bay, Wisconsin,1982,2019,38,1159,639,520,0.551,-0.38,-1.1,0,4,4,5,0,0
149,Grinnell Pioneers,Grinnell, Iowa,1901,1939,38,550,280,270,0.509,,,0,0,0,0,0,0
150,Grove City Wolverines,Grove City, Pennsylvania,1899,1925,27,383,257,126,0.671,,,0,0,0,,,
151,Hamline Pipers,St. Paul, Minnesota,1945,1948,4,102,82,20,0.804,,,0,0,0,0,0,0
152,Hampton Pirates,Hampton, Virginia,1996,2019,24,742,391,351,0.527,-8.78,-8.95,0,4,6,6,0,0
153,Hardin-Simmons Cowboys,Abilene, Texas,1923,1990,45,1149,481,668,0.419,-11.08,-5.7,0,1,0,2,0,0
154,Hartford Hawks,West Hartford, Connecticut,1985,2019,35,1038,436,602,0.42,-9.06,-5.38,0,0,0,0,0,0
155,Harvard Crimson,Boston, Massachusetts,1901,2019,108,2483,1153,1330,0.464,-8.33,-4.94,0,7,0,5,0,0
156,Haskell Indian Nations Institute Fighting Indians,Lawrence, Kansas,1903,1908,2,39,27,12,0.692,,,0,0,0,,,
157,Hawaii Rainbow Warriors,Honolulu, Hawaii,1971,2019,49,1439,758,681,0.527,2.12,1.95,1,3,4,5,0,0
158,High Point Panthers,High Point, North Carolina,2000,2019,20,607,295,312,0.486,-8.92,-6.27,0,4,0,0,0,0
159,Hiram Terriers,Hiram, Ohio,1894,1904,8,59,45,14,0.763,,,0,0,0,,,
160,Hofstra Pride,Hempstead, New York,1943,2019,54,1563,801,762,0.512,-6.09,-4.44,0,8,5,4,0,0
161,Holy Cross Crusaders,Worcester, Massachusetts,1901,2019,99,2406,1412,994,0.587,-1.84,-3.86,6,6,7,13,2,1
